id,year,list_index,name,slug,description,category,verification_status,published_on,mit_source_url,benchmark_ticker
73,2017,9,Botnets of Things,2017-botnets-of-things,IoT devices as an attack surface.,hardware,verified,2017-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
74,2017,10,Reinforcement Learning,2017-reinforcement-learning,Agents that learn from reward rather than labels.,ai,verified,2017-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
75,2018,1,3-D Metal Printing,2018-3-d-metal-printing,Additive manufacturing of production metal parts.,hardware,verified,2018-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
76,2018,2,Artificial Embryos,2018-artificial-embryos,Embryo-like structures grown from stem cells.,biotech,verified,2018-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
77,2018,3,Sensing City,2018-sensing-city,Urban infrastructure instrumented with sensors.,industrial,verified,2018-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
78,2018,4,AI for Everybody,2018-ai-for-everybody,Cloud APIs putting machine learning in ordinary software.,ai,verified,2018-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
79,2018,5,Dueling Neural Networks,2018-dueling-neural-networks,Generative adversarial networks leaving research papers.,ai,verified,2018-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
80,2018,6,Babel-Fish Earbuds,2018-babel-fish-earbuds,Near real-time spoken translation in an earpiece.,consumer,verified,2018-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
81,2018,7,Zero-Carbon Natural Gas,2018-zero-carbon-natural-gas,Gas plants that capture their carbon.,energy,verified,2018-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
82,2018,8,Perfect Online Privacy,2018-perfect-online-privacy,Cryptographic tools aiming at default private communication.,consumer,verified,2018-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
83,2018,9,Genetic Fortune-Telling,2018-genetic-fortune-telling,Polygenic scores claiming to predict traits and disease.,biotech,verified,2018-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
84,2018,10,Materials' Quantum Leap,2018-materials-quantum-leap,Quantum methods to discover materials.,hardware,verified,2018-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
85,2019,1,Robot Dexterity,2019-robot-dexterity,"Hands that manipulate messy, varied objects.",hardware,verified,2019-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
86,2019,2,New-Wave Nuclear Power,2019-new-wave-nuclear-power,"Smaller, safer reactor designs aiming at cheaper nuclear.",energy,verified,2019-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
87,2019,3,Predicting Preemies,2019-predicting-preemies,Tests to forecast preterm birth.,biotech,verified,2019-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
88,2019,4,Gut Probe in a Pill,2019-gut-probe-in-a-pill,Ingestible diagnostics for the GI tract.,biotech,verified,2019-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
89,2019,5,Custom Cancer Vaccines,2019-custom-cancer-vaccines,Vaccines tailored to a patient's tumor mutations.,biotech,verified,2019-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
90,2019,6,The Cow-Free Burger,2019-the-cow-free-burger,Plant or cultured protein sold as a burger.,consumer,verified,2019-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLY
91,2019,7,Carbon Dioxide Catcher,2019-carbon-dioxide-catcher,Machines that pull CO2 from air.,energy,verified,2019-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
92,2019,8,An ECG on Your Wrist,2019-an-ecg-on-your-wrist,Medical-grade heart traces from a watch.,consumer,verified,2019-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
93,2019,9,Sanitation Without Sewers,2019-sanitation-without-sewers,Toilet systems that do not need municipal pipes.,industrial,verified,2019-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
94,2019,10,Smooth-Talking AI Assistants,2019-smooth-talking-ai-assistants,Voice agents that hold a natural conversation.,ai,verified,2019-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
95,2020,1,Unhackable Internet,2020-unhackable-internet,Quantum and cryptographic paths toward harder-to-tap networks.,hardware,verified,2020-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
96,2020,2,Hyper-Personalized Medicine,2020-hyper-personalized-medicine,Treatments designed around a single patient.,biotech,verified,2020-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
97,2020,3,Digital Money,2020-digital-money,Crypto and digital cash moving into the financial mainstream.,consumer,verified,2020-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
98,2020,4,Anti-Aging Drugs,2020-anti-aging-drugs,Compounds aimed at aging mechanisms rather than one disease.,biotech,verified,2020-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
99,2020,5,AI-Discovered Molecules,2020-ai-discovered-molecules,Machine learning proposing drug candidates.,biotech,verified,2020-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
100,2020,6,Satellite Mega-Constellations,2020-satellite-mega-constellations,Hundreds to thousands of small satellites for global coverage.,space,verified,2020-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,ITA
101,2020,7,Quantum Supremacy,2020-quantum-supremacy,A quantum device beating classical computers on a contrived task.,hardware,verified,2020-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
102,2020,8,Tiny AI,2020-tiny-ai,Neural nets small enough to run on phones and microcontrollers.,ai,verified,2020-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SOXX
103,2020,9,Differential Privacy,2020-differential-privacy,Math that lets datasets be used without exposing individuals.,ai,verified,2020-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
104,2020,10,Climate-Change Attribution,2020-climate-change-attribution,Science that ties extreme weather to climate change in near-real time.,energy,verified,2020-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
105,2021,1,Messenger RNA Vaccines,2021-messenger-rna-vaccines,mRNA as a rapid vaccine platform after COVID-19.,biotech,verified,2021-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
106,2021,2,GPT-3,2021-gpt-3,Large language models becoming a general-purpose interface.,ai,verified,2021-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
108,2021,3,TikTok Recommendation Algorithms,2021-tiktok-recommendation-algorithms,For-you feeds that outperform social graphs.,ai,verified,2021-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
109,2021,4,Lithium-Metal Batteries,2021-lithium-metal-batteries,Anodes that raise energy density beyond graphite.,energy,verified,2021-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
107,2021,5,Data Trusts,2021-data-trusts,Legal wrappers for pooling data without giving it away.,consumer,verified,2021-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
110,2021,6,Green Hydrogen,2021-green-hydrogen,Hydrogen from renewables as an industrial fuel.,energy,verified,2021-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
111,2021,7,Digital Contact Tracing,2021-digital-contact-tracing,Phone-based exposure notification.,consumer,verified,2021-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
112,2021,8,Hyper-Accurate Positioning,2021-hyper-accurate-positioning,Location precision beyond classic GPS.,hardware,verified,2021-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
113,2021,9,Remote Everything,2021-remote-everything,"Work, medicine, and school designed to happen off-site.",consumer,verified,2021-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
114,2021,10,Multi-Skilled AI,2021-multi-skilled-ai,"Models that combine language, vision, and action.",ai,verified,2021-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
121,2022,1,COVID Pill,2022-covid-pill,Oral antivirals for SARS-CoV-2.,biotech,verified,2022-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
122,2022,2,Practical Fusion Reactors,2022-practical-fusion-reactors,Private fusion moving from physics demo toward plants.,energy,verified,2022-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
120,2022,3,A Proof of Stake,2022-a-proof-of-stake,Ethereum-class networks dropping proof of work.,consumer,verified,2022-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
117,2022,4,Long-Lasting Grid Batteries,2022-long-lasting-grid-batteries,"Storage that holds power for many hours, not minutes.",energy,verified,2022-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
118,2022,5,AI for Protein Folding,2022-ai-for-protein-folding,Structure prediction as a default biology tool.,biotech,verified,2022-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
119,2022,6,Malaria Vaccine,2022-malaria-vaccine,A vaccine with real-world impact against malaria.,biotech,verified,2022-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
123,2022,7,Synthetic Data for AI,2022-synthetic-data-for-ai,Fake data used to train models when real data is scarce.,ai,verified,2022-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
124,2022,8,Carbon Removal Factory,2022-carbon-removal-factory,Industrial plants whose product is negative emissions.,energy,verified,2022-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
115,2022,9,The End of Passwords,2022-the-end-of-passwords,Passkeys and device-bound credentials replacing passwords.,consumer,verified,2022-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
116,2022,10,COVID Variant Tracking,2022-covid-variant-tracking,Genomic surveillance of viral evolution.,biotech,verified,2022-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
125,2023,1,CRISPR for High Cholesterol,2023-crispr-for-high-cholesterol,"Over the past decade, the gene-editing tool CRISPR has rapidly evolved from the lab to the clinic. It started with experimental treatments for rare genetic disorders and has recently expanded into clinical trials for common conditions, including high cholesterol. New forms of CRISPR could take things further still.",biotech,verified,2023-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
126,2023,2,AI That Makes Images,2023-ai-that-makes-images,Diffusion models turning text into pictures.,ai,verified,2023-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
127,2023,3,A Chip Design That Changes Everything,2023-a-chip-design-that-changes-everything,A shift in how high-performance chips are architected.,hardware,verified,2023-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SOXX
128,2023,4,Mass-Market Military Drones,2023-mass-market-military-drones,Cheap drones changing the economics of conflict.,industrial,verified,2023-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,ITA
129,2023,5,Abortion Pills via Telemedicine,2023-abortion-pills-via-telemedicine,Medication abortion delivered remotely.,biotech,verified,2023-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
130,2023,6,Organs on Demand,2023-organs-on-demand,Lab-grown or xenotransplant organs.,biotech,verified,2023-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
131,2023,7,The Inevitable EV,2023-the-inevitable-ev,"Electric cars as the default trajectory, not a niche.",energy,verified,2023-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLY
132,2023,8,James Webb Space Telescope,2023-james-webb-space-telescope,A working observatory rewriting early-universe astronomy.,space,verified,2023-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,ITA
133,2023,9,Ancient DNA Analysis,2023-ancient-dna-analysis,Genomes from remains as a historical instrument.,biotech,verified,2023-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
134,2023,10,Battery Recycling,2023-battery-recycling,Closing the loop on EV and grid battery materials.,energy,verified,2023-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
135,2024,1,AI for Everything,2024-ai-for-everything,Generative models and agents entering ordinary software.,ai,verified,2024-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
136,2024,2,Super-Efficient Solar Cells,2024-super-efficient-solar-cells,Tandem and perovskite cells pushing conversion efficiency.,energy,verified,2024-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,TAN
137,2024,3,Apple Vision Pro,2024-apple-vision-pro,A high-end spatial computer from Apple.,consumer,verified,2024-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
138,2024,4,Weight-Loss Drugs,2024-weight-loss-drugs,GLP-1 medicines reshaping obesity and adjacent diseases.,biotech,verified,2024-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
139,2024,5,Enhanced Geothermal Systems,2024-enhanced-geothermal-systems,Engineered geothermal beyond natural hydrothermal sites.,energy,verified,2024-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
140,2024,6,Chiplets,2024-chiplets,Disaggregating processors into packaged chiplets.,hardware,verified,2024-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SOXX
141,2024,7,The First Gene-Editing Treatment,2024-the-first-gene-editing-treatment,Approved CRISPR therapy reaching patients.,biotech,verified,2024-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
142,2024,8,Exascale Computers,2024-exascale-computers,Supercomputers crossing a quintillion operations per second.,hardware,verified,2024-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
143,2024,9,Heat Pumps,2024-heat-pumps,Electrified heating as a climate and consumer appliance story.,energy,verified,2024-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
144,2024,10,Twitter Killers,2024-twitter-killers,Alternatives competing for the public square after Twitter.,consumer,verified,2024-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
147,2025,1,Small Language Models,2025-small-language-models,Capable models that run locally or cheaply.,ai,verified,2025-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SOXX
145,2025,2,Vera C. Rubin Observatory,2025-vera-c-rubin-observatory,A survey telescope built to film the changing sky.,space,verified,2025-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,ITA
152,2025,3,Long-Acting HIV Prevention,2025-long-acting-hiv-prevention,Infrequent dosing that could change HIV prevention.,biotech,verified,2025-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
146,2025,4,Generative AI Search,2025-generative-ai-search,Answers instead of ten blue links.,ai,verified,2025-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
148,2025,5,Cattle Burping Remedies,2025-cattle-burping-remedies,Feed additives that cut methane from cattle.,energy,verified,2025-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
150,2025,6,Cleaner Jet Fuel,2025-cleaner-jet-fuel,Sustainable aviation fuel at commercial blend levels.,energy,verified,2025-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
151,2025,7,Fast-Learning Robots,2025-fast-learning-robots,Robots acquiring skills from less demonstration data.,ai,verified,2025-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
154,2025,8,Stem-Cell Treatments That Work,2025-stem-cell-treatments-that-work,Stem-cell treatments crossing from hope to outcomes.,biotech,verified,2025-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
149,2025,9,Robotaxis,2025-robotaxis,Driverless ride-hailing leaving geofenced demos.,industrial,verified,2025-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLY
153,2025,10,Green Steel,2025-green-steel,Steelmaking that cuts coal-based emissions.,energy,verified,2025-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
155,2026,1,Hyperscale AI Data Centers,2026-hyperscale-ai-data-centers,"Campus-scale facilities built around training and serving frontier models, at a steep energy cost.",ai,verified,2026-01-12,https://www.technologyreview.com/2026/01/12/1130697,XLK
160,2026,2,Sodium-Ion Batteries,2026-sodium-ion-batteries,"Salt-based storage aiming at cheaper, safer packs than lithium for EVs and the grid.",energy,verified,2026-01-12,https://www.technologyreview.com/2026/01/12/1130697,XLE
162,2026,3,Personalized Gene Editing,2026-personalized-gene-editing,Personalized base editing used as a one-patient therapy.,biotech,verified,2026-01-12,https://www.technologyreview.com/2026/01/12/1129999,XBI
163,2026,4,AI Interpretability,2026-ai-interpretability,Tools that try to explain why a neural net did what it did.,ai,verified,2026-01-12,https://www.technologyreview.com/2026/01/12/1130697,XLK
156,2026,5,Advanced Nuclear Reactors,2026-advanced-nuclear-reactors,Novel materials and compact designs meant to make nuclear safer and cheaper.,energy,verified,2026-01-12,https://www.technologyreview.com/2026/01/12/1130697,XLE
157,2026,6,Embryo Genetic Scoring,2026-embryo-genetic-scoring,"Genetic tests sold as a way to rank embryos on traits, not only disease.",biotech,verified,2026-01-12,https://www.technologyreview.com/2026/01/12/1130697,XBI
158,2026,7,AI Companion Agents,2026-ai-companion-agents,"Chatbots used as intimate, always-on companions.",ai,verified,2026-01-12,https://www.technologyreview.com/2026/01/12/1130697,XLK
164,2026,8,Gene Restoration,2026-gene-restoration,Reconstructing extinct or lost genetic sequences for conservation and research.,biotech,verified,2026-01-12,https://www.technologyreview.com/2026/01/12/1130697,XBI
161,2026,9,Generative Coding,2026-generative-coding,AI that writes a material share of production software.,ai,verified,2026-01-12,https://www.technologyreview.com/2026/01/12/1130697,XLK
159,2026,10,Commercial Space Stations,2026-commercial-space-stations,Private orbital outposts intended to succeed the ISS.,space,verified,2026-01-12,https://www.technologyreview.com/2026/01/12/1130697,ITA
