technology_id,company_id,ticker,confidence,role_note,added_by,added_at
142,1,NVDA,direct,Accelerators inside the first exascale machines.,seed-v2,2026-09-02T00:00:00
142,96,SMCI,exposed,Builds the GPU servers those machines resemble commercially.,seed-v2,2026-09-02T00:00:00
144,127,RDDT,direct,"Public square competitor listed in 2024; not a Twitter clone, included as the listed alternative.",seed-v2,2026-09-02T00:00:00
144,5,META,exposed,"Threads; incumbent response, not a killer.",seed-v2,2026-09-02T00:00:00
137,111,U,exposed,Unity runtime used by spatial apps; not a headset.,seed-v2,2026-09-02T00:00:00
147,95,QCOM,direct,On-device NPUs in phones and PCs.,seed-v2,2026-09-02T00:00:00
149,121,AUR,direct,Public autonomy company aiming at driverless trucking and ride-hail.,seed-v2,2026-09-02T00:00:00
151,128,SYM,direct,Warehouse robots that learn SKU handling; smaller than the industrial conglomerates.,seed-v2,2026-09-02T00:00:00
151,104,PATH,exposed,Software automation adjacent to physical robots.,seed-v2,2026-09-02T00:00:00
153,129,CLF,exposed,US steelmaker investing in DRI / lower-coal routes; not a pure green-steel name.,seed-v2,2026-09-02T00:00:00
155,96,SMCI,direct,AI-server assembler whose revenue is concentrated on GPU racks.,seed-v2,2026-09-02T00:00:00
155,97,CRDO,exposed,High-speed connectivity silicon for AI clusters; smaller than NVIDIA.,seed-v2,2026-09-02T00:00:00
156,118,CCJ,exposed,Uranium supply; not a reactor OEM.,seed-v2,2026-09-02T00:00:00
156,119,UEC,exposed,Smaller US uranium developer.,seed-v2,2026-09-02T00:00:00
157,116,VCYT,exposed,"Genomic classifiers; adjacent diagnostics, not embryo ranking.",seed-v2,2026-09-02T00:00:00
158,103,SOUN,direct,Voice companions and assistants; smaller than the platform owners.,seed-v2,2026-09-02T00:00:00
159,107,LUNR,exposed,Commercial lunar lander company; adjacent orbital infrastructure.,seed-v2,2026-09-02T00:00:00
159,108,RDW,exposed,Space infrastructure manufacturer.,seed-v2,2026-09-02T00:00:00
161,104,PATH,direct,Automation platform embedding codegen; smaller than Microsoft.,seed-v2,2026-09-02T00:00:00
161,105,AI,direct,Enterprise AI applications including developer tools.,seed-v2,2026-09-02T00:00:00
162,98,BEAM,direct,Base-editing specialist; closer to one-patient editing than Vertex.,seed-v2,2026-09-02T00:00:00
162,100,PRME,direct,Prime-editing company.,seed-v2,2026-09-02T00:00:00
162,99,VERV,direct,In-vivo cardiovascular gene editing.,seed-v2,2026-09-02T00:00:00
